Customer_ID,Age,Income,Website_Visits,Time_On_Site,Purchase
C001,22,25000,2,5.2,No
C002,25,30000,3,6.1,No
C003,30,40000,4,7.5,No
C004,35,55000,6,10.2,Yes
C005,40,70000,7,12.5,Yes
C006,45,80000,8,14.1,Yes
C007,28,35000,3,6.8,No
C008,32,45000,5,8.9,Yes
C009,50,90000,9,15.3,Yes
C010,38,60000,6,11.4,Yes
C011,23,27000,2,4.8,No
C012,27,32000,3,5.9,No
C013,34,50000,5,9.3,Yes
C014,42,72000,8,13.7,Yes
C015,29,38000,4,7.1,No
C016,36,58000,6,10.8,Yes
C017,24,29000,2,5.1,No
C018,31,47000,5,8.5,Yes
C019,48,85000,9,14.8,Yes
C020,26,31000,3,6.0,No
C021,37,62000,7,11.9,Yes
C022,33,48000,4,8.2,Yes
C023,21,22000,1,3.9,No
C024,44,76000,8,13.2,Yes
C025,39,65000,7,12.1,Yes
C026,28,34000,2,5.7,No
C027,46,82000,9,15.0,Yes
C028,30,41000,4,7.8,No
C029,35,54000,6,10.0,Yes
C030,25,28000,2,4.9,No
